"Requirement","Why_Important"
"Longer stable history","Multiple comparable annual cycles are needed to estimate trend and seasonality more reliably."
"Consistent channel structure","Structural changes can be mistaken for trend or seasonality."
"Complete calendar coverage","Missing or partial periods can distort time-dependent patterns."
"Stock-out indicator","Observed sales may understate true demand when products are unavailable."
"Inventory on hand","Allows sales forecasts to be linked to inventory decisions."
"Promotion information","Promotions can create temporary demand spikes that should not be mistaken for recurring seasonality."
"Price history","Price changes may shift demand and should be modelled when relevant."
"Product-level series","Different perfumes may have different trends and seasonal patterns."
"Market-level series","Local and export demand may behave differently."
"Forecast evaluation protocol","Future forecasts should be tested using rolling-origin or future holdout evaluation rather than only in-sample fit."
