"Stage","Fragceylon_Requirement"
"Define experimental unit","Specify exactly what receives a treatment, e.g. dealer-period or store-period."
"Define treatment","Define control, discount, social-media and bundle conditions precisely."
"Choose response window","Use the same observation window for treatment comparisons."
"Choose primary response","Primary outcome could be Quantity Sold; revenue and margin may be secondary outcomes."
"Check eligibility","Exclude units that cannot reasonably receive all candidate treatments."
"Choose CRD or RCBD","Use CRD for sufficiently comparable units; consider RCBD when important block variation can be controlled."
"Create randomization schedule","Randomize before the outcome period begins and preserve the allocation record."
"Prevent treatment contamination","Avoid one treatment influencing another experimental unit through shared customers, dealers or media exposure."
"Record implementation compliance","Document whether each assigned treatment was actually delivered as planned."
"Record contextual variables","Record product, dealer, market, time period, stock availability and other important context."
"Analyze only after outcomes are collected","Do not examine outcomes and then change the original treatment allocation."
"Report practical and statistical effects","Report effect estimates, uncertainty, operational cost and business impact."
