"Criterion","CRD","RCBD"
"Basic structure","All comparable experimental units enter one common randomization pool.","Comparable units are first grouped into blocks; treatments are randomized within each block."
"Randomization","Treatments are randomly assigned across all eligible units.","Each treatment appears within every complete block."
"Control of known nuisance variation","No formal blocking; relies more heavily on unit comparability and randomization.","Explicitly controls one important source of nuisance variation represented by the blocks."
"Potential use at Fragceylon","Useful when dealer-period units are sufficiently homogeneous.","Useful when product, dealer, market or comparable-period differences are expected to affect demand."
"Main advantage","Simple to design, randomize and explain.","Can reduce unexplained variation and improve treatment comparison when blocks are meaningful."
"Main limitation","Product, dealer, market or timing differences may increase unexplained variation.","Requires well-defined blocks and can become difficult if units or treatments are unavailable within blocks."
"Operational complexity","Lower.","Higher."
"Key assumption / requirement","Experimental units should be sufficiently comparable and treatment assignment must be genuinely random.","Blocks should be internally comparable and all treatments should be implementable within each complete block."
"Risk of treatment spillover","Must be managed if customers, dealers or promotions affect nearby units.","Still possible; randomization and operational separation must prevent contamination between treatments."
"Practical feasibility","Potentially feasible for a small pilot with clearly separated comparable units.","Potentially feasible, but requires more coordination, scheduling and record keeping than CRD."
