"Variable","Decision","Reason"
"Quantity","TARGET","Response variable representing Regular Order demand."
"Order ID","EXCLUDE","Unique transaction identifier with no substantive predictive meaning."
"Date","EXCLUDE DIRECTLY","Use selected derived time variables rather than raw Date."
"Product Name","PRIMARY CANDIDATE","Known at prediction time and directly interpretable."
"Product Code","EXCLUDE","Redundant with Product Name."
"Channel Type","CONDITIONAL","Structurally linked to the April 2025 business change."
"Buyer","EXCLUDE FROM PRIMARY","High-cardinality customer identifier; may reduce generalizability."
"Line Type","EXCLUDE","Constant after restricting analysis to Regular Orders."
"Unit Price (LKR)","EXCLUDE FROM PRIMARY","Commercial variable partly determined by quantity, channel and month; excluded from primary model."
"Total Value (LKR)","EXCLUDE","Directly derived from Quantity and Unit Price; target leakage."
"Export Market","PRIMARY CANDIDATE","Potentially known at prediction time but structurally linked to the Japan buyer pattern."
"Outlier_IQR_Flag","EXCLUDE","Derived from Quantity; not a valid predictor."
"Year","EXCLUDE FROM PRIMARY","Overlaps with other calendar variables."
"Month","PRIMARY CANDIDATE","Calendar candidate known at prediction time."
"Month_Number","EXCLUDE","Redundant representation of Month."
"Quarter","EXCLUDE FROM PRIMARY","Overlaps with Month."
"Day_of_Week","PRIMARY CANDIDATE","Calendar candidate known at prediction time."
"Year_Month","EXCLUDE FROM PRIMARY","High-detail time category; excluded from primary specification."
"Time_Trend","PRIMARY CANDIDATE","Numeric temporal candidate."
"Sales_Regime","CONDITIONAL","Structurally linked to Channel Type and constant in current regime."
"Market_Group","EXCLUDE","Redundant with Export Market."
"Is_Regular_Order","EXCLUDE","Constant in Regular Orders dataset."
